Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1997, 5.30 , 5.20 , 5.20 , 5.10 , 4.90 , 5.00 , 4.90 , 4.80 , 4.90 , 4.70 , 4.60 , 4.70 
1998, 4.60 , 4.60 , 4.70 , 4.30 , 4.40 , 4.50 , 4.50 , 4.50 , 4.60 , 4.50 , 4.40 , 4.40 
1999, 4.30 , 4.40 , 4.20 , 4.30 , 4.20 , 4.30 , 4.30 , 4.20 , 4.20 , 4.10 , 4.10 , 4.00 
2000, 4.00 , 4.10 , 4.00 , 3.80 , 4.00 , 4.00 , 4.00 , 4.10 , 3.90 , 3.90 , 3.90 , 3.90 
2001, 4.20 , 4.20 , 4.30 , 4.40 , 4.30 , 4.50 , 4.60 , 4.90 , 5.00 , 5.30 , 5.50 , 5.70 
2002, 5.70 , 5.70 , 5.70 , 5.90 , 5.80 , 5.80 , 5.80 , 5.70 , 5.70 , 5.70 , 5.90 , 6.00 
2003, 5.80 , 5.90 , 5.90 , 6.00 , 6.10 , 6.30 , 6.20 , 6.10 , 6.10 , 6.00 , 5.80 , 5.70 
2004, 5.70 , 5.60 , 5.80 , 5.60 , 5.60 , 5.60 , 5.50 , 5.40 , 5.40 , 5.50 , 5.40 , 5.40 
2005, 5.30 , 5.40 , 5.20 , 5.20 , 5.10 , 5.00 , 5.00 , 4.90 , 5.00 , 5.00 , 5.00 , 4.90 
2006, 4.70 , 4.80 , 4.70 , 4.70 , 4.60 , 4.60 , 4.70 , 4.70 , 4.50 , 4.40 , 4.50 , 4.40 
2007, 4.60 , 4.50 , 4.40 , 4.50 , 4.40 , 4.60 , 4.70 , 4.60 , 4.70 , 4.70 , 4.70 , 5.00 
2008, 5.00 , 4.90 , 5.10 , 5.00 , 5.40 , 5.60 , 5.80 , 6.10 , 6.10 , 6.50 , 6.80 , 7.30 
2009, 7.80 , 8.30 , 8.70 , 9.00 , 9.40 , 9.50 , 9.50 , 9.60 , 9.80 , 10.00 , 9.90 , 9.90 
2010, 9.80 , 9.80 , 9.90 , 9.90 , 9.60 , 9.40 , 9.40 , 9.50 , 9.50 , 9.40 , 9.80 , 9.30 
2011, 9.10 , 9.00 , 9.00 , 9.10 , 9.00 , 9.10 , 9.00 , 9.00 , 9.00 , 8.80 , 8.60 , 8.50 
2012, 8.30 , 8.30 , 8.20 , 8.20 , 8.20 , 8.20 , 8.20 , 8.10 , 7.80 , 7.80 , 7.70 , 7.90 
2013, 8.00 , 7.70 , 7.50 , 7.60 , 7.50 , 7.50 , 7.30 , 7.20 , 7.20 , 7.20 , 6.90 , 6.70 
2014, 6.60 , 6.70 , 6.70 , 6.20 , 6.30 , 6.10 , 6.20 , 6.10 , 5.90 , 5.70 , 5.80 , 5.60 
2015, 5.70 , 5.50 , 5.40 , 5.40 , 5.60 , 5.30 , 5.20 , 5.10 , 5.00 , 5.00 , 5.10 , 5.00 
2016, 4.80 , 4.90 , 5.00 , 5.10 , 4.80 , 4.90 , 4.80 , 4.90 , 5.00 , 4.90 , 4.70 , 4.70 
2017, 4.70 , 4.60 , 4.40 , 4.40 , 4.40 , 4.30 , 4.30 , 4.40 , 4.30 , 4.20 , 4.20 , 4.10 
2018, 4.00 , 4.10 , 4.00 , 4.00 , 3.80 , 4.00 , 3.80 , 3.80 , 3.70 , 3.80 , 3.80 , 3.90 
2019, 4.00 , 3.80 , 3.80 , 3.60 , 3.70 , 3.60 , 3.70 , 3.70 , 3.50 , 3.60 , 3.60 , 3.60 
2020, 3.50 , 3.50 , 4.40 , 14.70 , 13.20 , 11.00 , 10.20 , 8.40 , 7.90 , 6.90 , 6.70 , 6.70 
2021, 6.30 , 6.20 , 6.10 , 6.10 , 5.80 , 5.90 , 5.40 , 5.20 , 4.80 , 4.50 , 4.20 , 3.90 
2022, 4.00 , 3.80 , 3.60 , 3.60 , 3.60 , 3.60 , 3.50 , 3.70 , 3.50 , 3.70 , 3.60 , 3.50 
